other_mark,symbol,same_ts_trades,same_ts_qty,role
Mark 14,HYDROGEL_PACK,20,88,seller
Mark 38,HYDROGEL_PACK,20,88,buyer
Mark 38,HYDROGEL_PACK,13,55,seller
Mark 14,HYDROGEL_PACK,13,55,buyer
Mark 22,VEV_6500,12,45,seller
Mark 22,VEV_6000,12,45,seller
Mark 22,VEV_5400,12,45,seller
Mark 01,VEV_6500,12,45,buyer
Mark 01,VEV_6000,12,45,buyer
Mark 22,VEV_5500,11,43,seller
Mark 01,VEV_5500,11,43,buyer
Mark 01,VEV_5400,10,36,buyer
Mark 22,VEV_5300,9,36,seller
Mark 38,VEV_4000,6,12,seller
Mark 14,VEV_4000,6,12,buyer
Mark 38,VEV_4000,6,13,buyer
Mark 14,VEV_4000,6,13,seller
Mark 01,VEV_5300,5,19,buyer
Mark 49,VELVETFRUIT_EXTRACT,4,35,seller
Mark 67,VELVETFRUIT_EXTRACT,4,30,buyer
Mark 14,VEV_5300,4,17,buyer
Mark 22,VELVETFRUIT_EXTRACT,3,23,seller
Mark 22,VELVETFRUIT_EXTRACT,2,18,buyer
Mark 14,VEV_5400,2,9,buyer
Mark 22,VEV_5200,1,5,seller
Mark 14,VEV_5200,1,5,buyer
Mark 49,VELVETFRUIT_EXTRACT,1,10,buyer
